country,season_start,team_a,team_b,is_rival
England,2024,brighton,crystal palace,TRUE
England,2024,brighton,west ham,TRUE
England,2024,brighton,everton,TRUE
England,2024,crystal palace,newcastle,TRUE
England,2024,newcastle,west ham,TRUE
England,2024,everton,newcastle,TRUE
England,2024,man utd,newcastle,TRUE
France,2019,lyon,marseille,TRUE
France,2019,lyon,monaco,TRUE
France,2019,marseille,monaco,TRUE
Germany,2019,frankfurt,werder bremen,TRUE
Germany,2019,mönchengladbach,werder bremen,TRUE
Germany,2020,freiburg,werder bremen,TRUE
England,2020,chelsea,man utd,TRUE
England,2020,arsenal,chelsea,TRUE
England,2020,chelsea,tottenham,TRUE
England,2020,chelsea,liverpool,TRUE
England,2020,man utd,tottenham,TRUE
England,2020,arsenal,man utd,TRUE
England,2020,liverpool,man utd,TRUE
England,2020,man city,man utd,TRUE
Italy,2023,bologna,udinese,TRUE
Italy,2023,bologna,torino,TRUE
Italy,2023,bologna,fiorentina,TRUE
Italy,2023,bologna,sassuolo,TRUE
Italy,2023,sassuolo,udinese,TRUE
Italy,2023,torino,udinese,TRUE
Italy,2023,fiorentina,udinese,TRUE
France,2020,fc nantes,g. bordeaux,TRUE
Italy,2024,parma,venezia,TRUE
Italy,2024,como,parma,TRUE
Italy,2024,como,venezia,TRUE
France,2021,montpellier,nice,TRUE
France,2021,fc nantes,montpellier,TRUE
France,2021,montpellier,stade rennais,TRUE
France,2021,montpellier,saint-étienne,TRUE
France,2021,angers sco,montpellier,TRUE
France,2021,fc nantes,nice,TRUE
France,2021,nice,stade rennais,TRUE
France,2021,nice,r. strasbourg,TRUE
France,2021,nice,saint-étienne,TRUE
Italy,2017,ac milan,sampdoria,TRUE
England,2020,arsenal,tottenham,TRUE
Germany,2021,leipzig,leverkusen,TRUE
Germany,2021,dortmund,leipzig,TRUE
Germany,2021,frankfurt,leipzig,TRUE
Germany,2021,hoffenheim,leipzig,TRUE
Germany,2021,leipzig,mönchengladbach,TRUE
Germany,2021,hoffenheim,leverkusen,TRUE
Germany,2021,dortmund,leverkusen,TRUE
Germany,2021,leverkusen,mönchengladbach,TRUE
Germany,2021,frankfurt,leverkusen,TRUE
England,2021,arsenal,man utd,TRUE
Italy,2024,cagliari,genoa,TRUE
Spain,2019,getafe,sevilla fc,TRUE
Spain,2019,getafe,villarreal,TRUE
England,2020,liverpool,tottenham,TRUE
England,2022,everton,leicester,TRUE
England,2022,everton,west ham,TRUE
England,2022,everton,southampton,TRUE
England,2022,leicester,west ham,TRUE
England,2022,leicester,southampton,TRUE
Spain,2019,sevilla fc,villarreal,TRUE
Spain,2019,sevilla fc,valencia,TRUE
