country,season,country_2,seller_raw,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,buyer_clean,seller_clean,rivalry_proximity,pos_clean,seller_norm,buyer_norm
England,2018,England,fulham,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,David Button,https://www.transfermarkt.com/david-button/profil/spieler/61814,Goalkeeper,29,England,Fulham,Premier League,4500000,FALSE,"",Summer,36,8,0,750,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,fulham,,goalkeeper,fulham,brighton
England,2018,Ecuador,independiente,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Billy Arce,https://www.transfermarkt.com/billy-arce/profil/spieler/450237,Left Winger,20,Ecuador,Independiente,Serie A Segunda Etapa,860000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,independiente,,left winger,independiente,brighton
England,2018,Germany,leipzig,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Bernardo,https://www.transfermarkt.com/bernardo/profil/spieler/364258,Centre-Back,23,Brazil,Leipzig,Bundesliga,1e+07,FALSE,"",Summer,39,27,0,2260,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,leipzig,,centre-back,leipzig,brighton
England,2018,France,lille,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Yves Bissouma,https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425,Defensive Midfield,21,Mali,Lille,Ligue 1,16800000,FALSE,"",Summer,40,34,1,2295,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,lille,,defensive midfield,lille,brighton
England,2018,Germany,mainz,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Leon Balogun,https://www.transfermarkt.com/leon-balogun/profil/spieler/56100,Centre-Back,30,Nigeria,Mainz,Bundesliga,0,FALSE,"",Summer,29,10,1,801,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,mainz,,centre-back,mainz,brighton
England,2018,Norway,molde fk,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Leo Østigård,https://www.transfermarkt.com/leo-ostigard/profil/spieler/367284,Centre-Back,18,Norway,Molde FK,Eliteserien,110000,FALSE,"",Summer,1,0,0,0,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,molde fk,,centre-back,molde fk,brighton
England,2018,Norway,molde fk,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Mathias Normann,https://www.transfermarkt.com/mathias-normann/profil/spieler/257805,Defensive Midfield,22,Norway,Molde FK,Eliteserien,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,molde fk,,defensive midfield,molde fk,brighton
England,2018,England,peterborough,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Ben White,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Right-Back,21,England,Peterborough,League One,,TRUE,End of loan 31/05/2019,Summer,1,0,0,0,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,peterborough,,right-back,peterborough,brighton
England,2018,England,qpr,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Tomer Hemed,https://www.transfermarkt.com/tomer-hemed/profil/spieler/112668,Centre-Forward,32,Israel,QPR,Championship,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,qpr,,centre-forward,qpr,brighton
England,2018,England,rotherham,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Richie Towell,https://www.transfermarkt.com/richie-towell/profil/spieler/114116,Central Midfield,27,Ireland,Rotherham,Championship,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,rotherham,,central midfield,rotherham,brighton
England,2018,Netherlands,sparta r.,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Soufyan Ahannach,https://www.transfermarkt.com/soufyan-ahannach/profil/spieler/262895,Left Winger,22,Netherlands,Sparta R.,Eredivisie,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,sparta r.,,left winger,sparta r,brighton
