country,season,seller_clean,buyer_clean,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,pos_clean,is_rival
England,2019,lazio,Wolves,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Pedro Neto,https://www.transfermarkt.com/pedro-neto/profil/spieler/487465,Right Winger,19,Portugal,Lazio,Serie A,Italy,17900000,FALSE,"",Summer,52,44,5,1671,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,2019,right winger,FALSE
England,2019,lazio,Wolves,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Bruno Jordão,https://www.transfermarkt.com/bruno-jordao/profil/spieler/415646,Defensive Midfield,20,Portugal,Lazio,Serie A,Italy,8900000,FALSE,"",Summer,19,4,1,131,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,2019,defensive midfield,FALSE
England,2019,leicester,man utd,manchester united,Manchester United,Premier League,Arrivals,Harry Maguire,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,Centre-Back,26,England,Leicester,Premier League,England,8.7e+07,FALSE,"",Summer,57,55,3,4962,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2019,2019,centre-back,TRUE
England,2019,lille,arsenal,arsenal fc,Arsenal FC,Premier League,Arrivals,Nicolas Pépé,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052,Right Winger,24,Cote d'Ivoire,Lille,Ligue 1,France,8e+07,FALSE,"",Summer,51,42,8,2720,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2019,2019,right winger,FALSE
England,2019,lille,aston villa,aston villa,Aston Villa,Premier League,Arrivals,Anwar El Ghazi,https://www.transfermarkt.com/anwar-el-ghazi/profil/spieler/183720,Right Winger,24,Netherlands,Lille,Ligue 1,France,9e+06,FALSE,"",Summer,45,40,6,2551,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019,2019,right winger,FALSE
England,2019,lyon,tottenham,tottenham hotspur,Tottenham Hotspur,Premier League,Arrivals,Tanguy Ndombélé,https://www.transfermarkt.com/tanguy-ndombele/profil/spieler/450936,Central Midfield,22,France,Lyon,Ligue 1,France,6.2e+07,FALSE,"",Summer,37,29,2,1447,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2019,2019,central midfield,FALSE
England,2019,mainz,everton,everton fc,Everton FC,Premier League,Arrivals,Jean-Philippe Gbamin,https://www.transfermarkt.com/jean-philippe-gbamin/profil/spieler/182894,Centre-Back,23,Cote d'Ivoire,Mainz,Bundesliga,Germany,2.5e+07,FALSE,"",Summer,2,2,0,135,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,2019,centre-back,FALSE
England,2019,man city,aston villa,aston villa,Aston Villa,Premier League,Arrivals,Douglas Luiz,https://www.transfermarkt.com/douglas-luiz/profil/spieler/447661,Central Midfield,21,Brazil,Man City,Premier League,England,16800000,FALSE,"",Summer,44,42,3,3148,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019,2019,central midfield,FALSE
England,2019,man city,everton,everton fc,Everton FC,Premier League,Arrivals,Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,Central Midfield,29,England,Man City,Premier League,England,9500000,FALSE,"",Summer,21,20,0,1471,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,2019,central midfield,FALSE
England,2019,nice,newcastle,newcastle united,Newcastle United,Premier League,Arrivals,Allan Saint-Maximin,https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642,Left Winger,22,France,Nice,Ligue 1,France,1.8e+07,FALSE,"",Summer,31,30,4,2183,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2019,2019,left winger,FALSE
England,2019,real madrid,chelsea,chelsea fc,Chelsea FC,Premier League,Arrivals,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,Central Midfield,25,Croatia,Real Madrid,LaLiga,Spain,4.5e+07,FALSE,"",Summer,50,47,2,3282,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2019,2019,central midfield,FALSE
England,2019,saint-étienne,arsenal,arsenal fc,Arsenal FC,Premier League,Arrivals,William Saliba,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,Centre-Back,18,France,Saint-Étienne,Ligue 1,France,3e+07,FALSE,"",Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2019,2019,centre-back,FALSE
