country,league,season,team_a,team_b,pos_diff,team_a_low,team_b_low,country_low,league_low
England,Games of Matchday 38 Premier League 22/23,2022,Bournemouth,Nott'm Forest,1,bournemouth,nott'm forest,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Bournemouth,West Ham,1,bournemouth,west ham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Bournemouth,Wolves,2,bournemouth,wolves,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Brentford,Crystal Palace,2,brentford,crystal palace,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Brentford,Fulham,1,brentford,fulham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Brentford,Tottenham,1,brentford,tottenham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Brighton,Liverpool,1,brighton,liverpool,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Brighton,Newcastle,2,brighton,newcastle,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Brighton,Tottenham,2,brighton,tottenham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Chelsea,Crystal Palace,1,chelsea,crystal palace,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Chelsea,Fulham,2,chelsea,fulham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Chelsea,West Ham,2,chelsea,west ham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Chelsea,Wolves,1,chelsea,wolves,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Crystal Palace,Fulham,1,crystal palace,fulham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Crystal Palace,Wolves,2,crystal palace,wolves,england,games of matchday 38 premier league 22/23
